Run 1
0, 100000000, 0, 1, 0, gs='40', nc='0.4', ne='0.4', ps='25', xi='0.4'
0.1, 2618.0, 1, 1, 1000000000.0, gs='40', nc='0.4', ne='0.4', ps='25', xi='0.4'
1.3, 2618.0, 2, 1, 1000000000.0, gs='40', nc='0.4', ne='0.4', ps='25', xi='0.4'
1.9000000000000006, 2618.0, 3, 1, 1000000000.0, gs='40', nc='0.4', ne='0.4', ps='25', xi='0.4'
2.1000000000000005, 2618.0, 4, 1, 1000000000.0, gs='40', nc='0.4', ne='0.4', ps='25', xi='0.4'
2.3000000000000007, 2618.0, 5, 1, 1000000000.0, gs='40', nc='0.4', ne='0.4', ps='25', xi='0.4'
4.999999999999998, 2617.8, 5, 1, 1000000000.0, gs='70', nc='0.2', ne='0.2', ps='25', xi='0.8'
5.099999999999998, 2617.8333333333335, 6, 1, 1000000000.0, gs='70', nc='0.2', ne='0.2', ps='25', xi='0.8'
5.1999999999999975, 2617.8571428571427, 7, 1, 1000000000.0, gs='70', nc='0.2', ne='0.2', ps='25', xi='0.8'
5.299999999999997, 2618.25, 8, 1, 1000000000.0, gs='70', nc='0.2', ne='0.2', ps='25', xi='0.8'
5.399999999999997, 2618.0, 9, 1, 1000000000.0, gs='70', nc='0.2', ne='0.2', ps='25', xi='0.8'
5.4999999999999964, 2617.9, 10, 1, 1000000000.0, gs='70', nc='0.2', ne='0.2', ps='25', xi='0.8'
5.599999999999996, 2618.181818181818, 11, 1, 1000000000.0, gs='70', nc='0.2', ne='0.2', ps='25', xi='0.8'
5.699999999999996, 2618.3333333333335, 12, 1, 1000000000.0, gs='70', nc='0.2', ne='0.2', ps='25', xi='0.8'
5.799999999999995, 2618.3076923076924, 13, 1, 1000000000.0, gs='70', nc='0.2', ne='0.2', ps='25', xi='0.8'
5.899999999999995, 2618.3571428571427, 14, 1, 1000000000.0, gs='70', nc='0.2', ne='0.2', ps='25', xi='0.8'
5.999999999999995, 2618.3333333333335, 15, 1, 1000000000.0, gs='70', nc='0.2', ne='0.2', ps='25', xi='0.8'
6.099999999999994, 2618.3125, 16, 1, 1000000000.0, gs='70', nc='0.2', ne='0.2', ps='25', xi='0.8'
7.699999999999989, 2617.625, 16, 1, 1000000000.0, gs='70', nc='0.6', ne='0.2', ps='25', xi='0.8'
7.799999999999988, 2617.6470588235293, 17, 1, 1000000000.0, gs='70', nc='0.6', ne='0.2', ps='25', xi='0.8'
9.699999999999982, 2617.6666666666665, 18, 1, 1000000000.0, gs='70', nc='0.6', ne='0.2', ps='25', xi='0.8'
9.799999999999981, 2617.684210526316, 19, 1, 1000000000.0, gs='70', nc='0.6', ne='0.2', ps='25', xi='0.8'
9.89999999999998, 2617.7, 20, 1, 1000000000.0, gs='70', nc='0.6', ne='0.2', ps='25', xi='0.8'
9.99999999999998, 2617.714285714286, 21, 1, 1000000000.0, gs='70', nc='0.6', ne='0.2', ps='25', xi='0.8'
10.09999999999998, 2617.6363636363635, 22, 1, 1000000000.0, gs='70', nc='0.6', ne='0.2', ps='25', xi='0.8'
10.19999999999998, 2617.6521739130435, 23, 1, 1000000000.0, gs='70', nc='0.6', ne='0.2', ps='25', xi='0.8'
10.29999999999998, 2617.7916666666665, 24, 1, 1000000000.0, gs='70', nc='0.6', ne='0.2', ps='25', xi='0.8'
