Run 1
0, 100000000, 0, 1, 0, gs='40', nc='0.4', ne='0.4', ps='25', xi='0.4'
0.1, 18701.0, 1, 1, 1000000000.0, gs='40', nc='0.4', ne='0.4', ps='25', xi='0.4'
0.2, 18618.0, 1, 1, 1000000000.0, gs='70', nc='0.8', ne='0.8', ps='5', xi='0.2'
1.2, 18530.0, 1, 1, 1000000000.0, gs='70', nc='0.2', ne='0.8', ps='5', xi='0.2'
1.3, 18554.5, 2, 1, 1000000000.0, gs='70', nc='0.2', ne='0.8', ps='5', xi='0.2'
2.400000000000001, 18536.0, 2, 1, 1000000000.0, gs='70', nc='0.2', ne='0.8', ps='5', xi='0.8'
2.500000000000001, 18485.333333333332, 3, 1, 1000000000.0, gs='70', nc='0.2', ne='0.8', ps='5', xi='0.8'
2.600000000000001, 18525.0, 4, 1, 1000000000.0, gs='70', nc='0.2', ne='0.8', ps='5', xi='0.8'
2.700000000000001, 18572.2, 5, 1, 1000000000.0, gs='70', nc='0.2', ne='0.8', ps='5', xi='0.8'
2.800000000000001, 18582.333333333332, 6, 1, 1000000000.0, gs='70', nc='0.2', ne='0.8', ps='5', xi='0.8'
2.9000000000000012, 18597.285714285714, 7, 1, 1000000000.0, gs='70', nc='0.2', ne='0.8', ps='5', xi='0.8'
3.0000000000000013, 18623.5, 8, 1, 1000000000.0, gs='70', nc='0.2', ne='0.8', ps='5', xi='0.8'
3.1000000000000014, 18630.222222222223, 9, 1, 1000000000.0, gs='70', nc='0.2', ne='0.8', ps='5', xi='0.8'
3.2000000000000015, 18613.6, 10, 1, 1000000000.0, gs='70', nc='0.2', ne='0.8', ps='5', xi='0.8'
3.3000000000000016, 18589.454545454544, 11, 1, 1000000000.0, gs='70', nc='0.2', ne='0.8', ps='5', xi='0.8'
4.699999999999999, 18312.81818181818, 11, 1, 1000000000.0, gs='40', nc='0.2', ne='0.8', ps='5', xi='0.8'
4.799999999999999, 18306.25, 12, 1, 1000000000.0, gs='40', nc='0.2', ne='0.8', ps='5', xi='0.8'
4.899999999999999, 18304.923076923078, 13, 1, 1000000000.0, gs='40', nc='0.2', ne='0.8', ps='5', xi='0.8'
4.999999999999998, 18312.35714285714, 14, 1, 1000000000.0, gs='40', nc='0.2', ne='0.8', ps='5', xi='0.8'
5.099999999999998, 18306.2, 15, 1, 1000000000.0, gs='40', nc='0.2', ne='0.8', ps='5', xi='0.8'
7.799999999999988, 18211.133333333335, 15, 1, 1000000000.0, gs='20', nc='0.2', ne='0.8', ps='5', xi='0.8'
7.899999999999988, 18196.25, 16, 1, 1000000000.0, gs='20', nc='0.2', ne='0.8', ps='5', xi='0.8'
7.999999999999988, 18187.176470588234, 17, 1, 1000000000.0, gs='20', nc='0.2', ne='0.8', ps='5', xi='0.8'
8.099999999999987, 18191.722222222223, 18, 1, 1000000000.0, gs='20', nc='0.2', ne='0.8', ps='5', xi='0.8'
8.199999999999987, 18183.263157894737, 19, 1, 1000000000.0, gs='20', nc='0.2', ne='0.8', ps='5', xi='0.8'
8.299999999999986, 18190.55, 20, 1, 1000000000.0, gs='20', nc='0.2', ne='0.8', ps='5', xi='0.8'
8.399999999999986, 18190.14285714286, 21, 1, 1000000000.0, gs='20', nc='0.2', ne='0.8', ps='5', xi='0.8'
8.499999999999986, 18191.863636363636, 22, 1, 1000000000.0, gs='20', nc='0.2', ne='0.8', ps='5', xi='0.8'
8.599999999999985, 18192.434782608696, 23, 1, 1000000000.0, gs='20', nc='0.2', ne='0.8', ps='5', xi='0.8'
8.699999999999985, 18190.166666666668, 24, 1, 1000000000.0, gs='20', nc='0.2', ne='0.8', ps='5', xi='0.8'
8.799999999999985, 18185.96, 25, 1, 1000000000.0, gs='20', nc='0.2', ne='0.8', ps='5', xi='0.8'
8.899999999999984, 18179.076923076922, 26, 1, 1000000000.0, gs='20', nc='0.2', ne='0.8', ps='5', xi='0.8'
8.999999999999984, 18184.85185185185, 27, 1, 1000000000.0, gs='20', nc='0.2', ne='0.8', ps='5', xi='0.8'
9.099999999999984, 18177.64285714286, 28, 1, 1000000000.0, gs='20', nc='0.2', ne='0.8', ps='5', xi='0.8'
11.899999999999974, 18107.5, 28, 1, 1000000000.0, gs='20', nc='0.2', ne='0.6', ps='5', xi='0.8'
11.999999999999973, 18103.931034482757, 29, 1, 1000000000.0, gs='20', nc='0.2', ne='0.6', ps='5', xi='0.8'
13.999999999999966, 18110.566666666666, 30, 1, 1000000000.0, gs='20', nc='0.2', ne='0.6', ps='5', xi='0.8'
14.099999999999966, 18111.74193548387, 31, 1, 1000000000.0, gs='20', nc='0.2', ne='0.6', ps='5', xi='0.8'
14.199999999999966, 18118.03125, 32, 1, 1000000000.0, gs='20', nc='0.2', ne='0.6', ps='5', xi='0.8'
14.299999999999965, 18121.545454545456, 33, 1, 1000000000.0, gs='20', nc='0.2', ne='0.6', ps='5', xi='0.8'
14.399999999999965, 18119.823529411766, 34, 1, 1000000000.0, gs='20', nc='0.2', ne='0.6', ps='5', xi='0.8'
14.499999999999964, 18117.542857142857, 35, 1, 1000000000.0, gs='20', nc='0.2', ne='0.6', ps='5', xi='0.8'
14.599999999999964, 18113.083333333332, 36, 1, 1000000000.0, gs='20', nc='0.2', ne='0.6', ps='5', xi='0.8'
14.699999999999964, 18121.216216216217, 37, 1, 1000000000.0, gs='20', nc='0.2', ne='0.6', ps='5', xi='0.8'
14.799999999999963, 18125.71052631579, 38, 1, 1000000000.0, gs='20', nc='0.2', ne='0.6', ps='5', xi='0.8'
14.899999999999963, 18125.53846153846, 39, 1, 1000000000.0, gs='20', nc='0.2', ne='0.6', ps='5', xi='0.8'
14.999999999999963, 18128.05, 40, 1, 1000000000.0, gs='20', nc='0.2', ne='0.6', ps='5', xi='0.8'
15.099999999999962, 18124.170731707316, 41, 1, 1000000000.0, gs='20', nc='0.2', ne='0.6', ps='5', xi='0.8'
15.199999999999962, 18128.47619047619, 42, 1, 1000000000.0, gs='20', nc='0.2', ne='0.6', ps='5', xi='0.8'
15.299999999999962, 18126.06976744186, 43, 1, 1000000000.0, gs='20', nc='0.2', ne='0.6', ps='5', xi='0.8'
15.399999999999961, 18128.159090909092, 44, 1, 1000000000.0, gs='20', nc='0.2', ne='0.6', ps='5', xi='0.8'
15.499999999999961, 18134.155555555557, 45, 1, 1000000000.0, gs='20', nc='0.2', ne='0.6', ps='5', xi='0.8'
15.59999999999996, 18135.478260869564, 46, 1, 1000000000.0, gs='20', nc='0.2', ne='0.6', ps='5', xi='0.8'
15.69999999999996, 18131.893617021276, 47, 1, 1000000000.0, gs='20', nc='0.2', ne='0.6', ps='5', xi='0.8'
15.79999999999996, 18128.75, 48, 1, 1000000000.0, gs='20', nc='0.2', ne='0.6', ps='5', xi='0.8'
15.79999999999996, 18128.75, 48, 1, 1000000000.0, gs='20', nc='0.2', ne='0.6', ps='5', xi='0.8'
31.400000000000176, 18062.354166666668, 48, 3, 1000000000.0, gs='10', nc='0.2', ne='0.6', ps='5', xi='0.4'
31.400000000000176, 18062.354166666668, 48, 3, 1000000000.0, gs='10', nc='0.2', ne='0.6', ps='5', xi='0.4'
34.50000000000022, 18061.408163265307, 49, 4, 1000000000.0, gs='10', nc='0.2', ne='0.6', ps='5', xi='0.4'
34.60000000000022, 18061.94, 50, 4, 1000000000.0, gs='10', nc='0.2', ne='0.6', ps='5', xi='0.4'
34.70000000000022, 18059.647058823528, 51, 4, 1000000000.0, gs='10', nc='0.2', ne='0.6', ps='5', xi='0.4'
34.800000000000225, 18058.80769230769, 52, 4, 1000000000.0, gs='10', nc='0.2', ne='0.6', ps='5', xi='0.4'
34.900000000000226, 18054.69811320755, 53, 4, 1000000000.0, gs='10', nc='0.2', ne='0.6', ps='5', xi='0.4'
35.00000000000023, 18050.5, 54, 4, 1000000000.0, gs='10', nc='0.2', ne='0.6', ps='5', xi='0.4'
35.10000000000023, 18049.6, 55, 4, 1000000000.0, gs='10', nc='0.2', ne='0.6', ps='5', xi='0.4'
35.20000000000023, 18047.76785714286, 56, 4, 1000000000.0, gs='10', nc='0.2', ne='0.6', ps='5', xi='0.4'
35.30000000000023, 18050.333333333332, 57, 4, 1000000000.0, gs='10', nc='0.2', ne='0.6', ps='5', xi='0.4'
35.40000000000023, 18052.379310344826, 58, 4, 1000000000.0, gs='10', nc='0.2', ne='0.6', ps='5', xi='0.4'
39.700000000000294, 18053.474576271186, 59, 4, 1000000000.0, gs='10', nc='0.2', ne='0.6', ps='5', xi='0.4'
39.800000000000296, 18055.383333333335, 60, 4, 1000000000.0, gs='10', nc='0.2', ne='0.6', ps='5', xi='0.4'
39.9000000000003, 18056.147540983606, 61, 4, 1000000000.0, gs='10', nc='0.2', ne='0.6', ps='5', xi='0.4'
40.0000000000003, 18056.25806451613, 62, 4, 1000000000.0, gs='10', nc='0.2', ne='0.6', ps='5', xi='0.4'
40.1000000000003, 18056.507936507936, 63, 4, 1000000000.0, gs='10', nc='0.2', ne='0.6', ps='5', xi='0.4'
40.2000000000003, 18056.71875, 64, 4, 1000000000.0, gs='10', nc='0.2', ne='0.6', ps='5', xi='0.4'
40.3000000000003, 18058.292307692307, 65, 4, 1000000000.0, gs='10', nc='0.2', ne='0.6', ps='5', xi='0.4'
40.400000000000304, 18060.166666666668, 66, 4, 1000000000.0, gs='10', nc='0.2', ne='0.6', ps='5', xi='0.4'
40.500000000000306, 18058.567164179105, 67, 4, 1000000000.0, gs='10', nc='0.2', ne='0.6', ps='5', xi='0.4'
40.60000000000031, 18060.779411764706, 68, 4, 1000000000.0, gs='10', nc='0.2', ne='0.6', ps='5', xi='0.4'
40.70000000000031, 18059.463768115944, 69, 4, 1000000000.0, gs='10', nc='0.2', ne='0.6', ps='5', xi='0.4'
40.80000000000031, 18061.742857142857, 70, 4, 1000000000.0, gs='10', nc='0.2', ne='0.6', ps='5', xi='0.4'
40.90000000000031, 18061.774647887323, 71, 4, 1000000000.0, gs='10', nc='0.2', ne='0.6', ps='5', xi='0.4'
41.00000000000031, 18062.98611111111, 72, 4, 1000000000.0, gs='10', nc='0.2', ne='0.6', ps='5', xi='0.4'
41.100000000000314, 18064.15068493151, 73, 4, 1000000000.0, gs='10', nc='0.2', ne='0.6', ps='5', xi='0.4'
41.200000000000315, 18062.797297297297, 74, 4, 1000000000.0, gs='10', nc='0.2', ne='0.6', ps='5', xi='0.4'
41.30000000000032, 18061.693333333333, 75, 4, 1000000000.0, gs='10', nc='0.2', ne='0.6', ps='5', xi='0.4'
41.40000000000032, 18060.815789473683, 76, 4, 1000000000.0, gs='10', nc='0.2', ne='0.6', ps='5', xi='0.4'
41.40000000000032, 18060.815789473683, 76, 4, 1000000000.0, gs='10', nc='0.2', ne='0.6', ps='5', xi='0.4'
48.00000000000041, 18061.246753246753, 77, 5, 1000000000.0, gs='10', nc='0.2', ne='0.6', ps='5', xi='0.4'
48.10000000000041, 18061.333333333332, 78, 5, 1000000000.0, gs='10', nc='0.2', ne='0.6', ps='5', xi='0.4'
