Run 1
0, 100000000, 0, 1, 0, gs='40', nc='0.4', ne='0.4', ps='25', xi='0.4'
0.1, 10795.0, 1, 1, 1000000000.0, gs='40', nc='0.4', ne='0.4', ps='25', xi='0.4'
1.2, 10713.0, 1, 1, 1000000000.0, gs='40', nc='0.2', ne='0.4', ps='25', xi='0.4'
1.3, 10794.5, 2, 1, 1000000000.0, gs='40', nc='0.2', ne='0.4', ps='25', xi='0.4'
3.3000000000000016, 10829.0, 3, 1, 1000000000.0, gs='40', nc='0.2', ne='0.4', ps='25', xi='0.4'
3.4000000000000017, 10826.25, 4, 1, 1000000000.0, gs='40', nc='0.2', ne='0.4', ps='25', xi='0.4'
3.5000000000000018, 10839.6, 5, 1, 1000000000.0, gs='40', nc='0.2', ne='0.4', ps='25', xi='0.4'
3.600000000000002, 10848.666666666666, 6, 1, 1000000000.0, gs='40', nc='0.2', ne='0.4', ps='25', xi='0.4'
3.700000000000002, 10838.714285714286, 7, 1, 1000000000.0, gs='40', nc='0.2', ne='0.4', ps='25', xi='0.4'
3.800000000000002, 10865.875, 8, 1, 1000000000.0, gs='40', nc='0.2', ne='0.4', ps='25', xi='0.4'
3.900000000000002, 10873.777777777777, 9, 1, 1000000000.0, gs='40', nc='0.2', ne='0.4', ps='25', xi='0.4'
4.000000000000002, 10883.7, 10, 1, 1000000000.0, gs='40', nc='0.2', ne='0.4', ps='25', xi='0.4'
4.100000000000001, 10884.09090909091, 11, 1, 1000000000.0, gs='40', nc='0.2', ne='0.4', ps='25', xi='0.4'
4.200000000000001, 10874.666666666666, 12, 1, 1000000000.0, gs='40', nc='0.2', ne='0.4', ps='25', xi='0.4'
4.300000000000001, 10864.615384615385, 13, 1, 1000000000.0, gs='40', nc='0.2', ne='0.4', ps='25', xi='0.4'
4.4, 10863.857142857143, 14, 1, 1000000000.0, gs='40', nc='0.2', ne='0.4', ps='25', xi='0.4'
4.5, 10860.666666666666, 15, 1, 1000000000.0, gs='40', nc='0.2', ne='0.4', ps='25', xi='0.4'
4.6, 10876.4375, 16, 1, 1000000000.0, gs='40', nc='0.2', ne='0.4', ps='25', xi='0.4'
4.699999999999999, 10884.941176470587, 17, 1, 1000000000.0, gs='40', nc='0.2', ne='0.4', ps='25', xi='0.4'
4.799999999999999, 10887.666666666666, 18, 1, 1000000000.0, gs='40', nc='0.2', ne='0.4', ps='25', xi='0.4'
4.899999999999999, 10884.736842105263, 19, 1, 1000000000.0, gs='40', nc='0.2', ne='0.4', ps='25', xi='0.4'
4.999999999999998, 10881.35, 20, 1, 1000000000.0, gs='40', nc='0.2', ne='0.4', ps='25', xi='0.4'
5.099999999999998, 10886.52380952381, 21, 1, 1000000000.0, gs='40', nc='0.2', ne='0.4', ps='25', xi='0.4'
5.099999999999998, 10886.52380952381, 21, 1, 1000000000.0, gs='40', nc='0.2', ne='0.4', ps='25', xi='0.4'
12.69999999999997, 10657.666666666666, 21, 2, 1000000000.0, gs='40', nc='0.4', ne='0.8', ps='5', xi='0.8'
12.79999999999997, 10654.136363636364, 22, 2, 1000000000.0, gs='40', nc='0.4', ne='0.8', ps='5', xi='0.8'
