Base,C1,19977
Base,C2,10983
Base,R1,24508
Base,R2,14837
Base,RC1,21331
Base,RC2,12510
KNN1,C1,19715
KNN1,C2,10481
KNN1,R1,26221
KNN1,R2,14437
KNN1,RC1,21066
KNN1,RC2,12071
KNN11,C1,19689
KNN11,C2,10498
KNN11,R1,26274
KNN11,R2,14477
KNN11,RC1,21061
KNN11,RC2,12113
KNN3,C1,19667
KNN3,C2,10457
KNN3,R1,25795
KNN3,R2,14434
KNN3,RC1,21020
KNN3,RC2,12096
KNN5,C1,19670
KNN5,C2,10498
KNN5,R1,26167
KNN5,R2,14442
KNN5,RC1,21041
KNN5,RC2,12158
KNN7,C1,19682
KNN7,C2,10497
KNN7,R1,26152
KNN7,R2,14418
KNN7,RC1,21044
KNN7,RC2,12148
KNN9,C1,19704
KNN9,C2,10486
KNN9,R1,25787
KNN9,R2,14413
KNN9,RC1,21069
KNN9,RC2,12128
NeuralNetwork,C1,19670
NeuralNetwork,C2,10439
NeuralNetwork,R1,25497
NeuralNetwork,R2,14434
NeuralNetwork,RC1,21031
NeuralNetwork,RC2,12050
Random,C1,19942
Random,C2,10977
Random,R1,24578
Random,R2,14967
Random,RC1,21287
Random,RC2,12597
