Base,C1,19616
Base,C2,10289
Base,R1,23127
Base,R2,14261
Base,RC1,21008
Base,RC2,11974
KNN1,C1,19444
KNN1,C2,10029
KNN1,R1,24496
KNN1,R2,13925
KNN1,RC1,20766
KNN1,RC2,11692
KNN11,C1,19421
KNN11,C2,9969
KNN11,R1,25180
KNN11,R2,13899
KNN11,RC1,20738
KNN11,RC2,11658
KNN3,C1,19423
KNN3,C2,10024
KNN3,R1,24245
KNN3,R2,13939
KNN3,RC1,20732
KNN3,RC2,11732
KNN5,C1,19422
KNN5,C2,10014
KNN5,R1,25546
KNN5,R2,13916
KNN5,RC1,20742
KNN5,RC2,11714
KNN7,C1,19428
KNN7,C2,9984
KNN7,R1,24217
KNN7,R2,13918
KNN7,RC1,20754
KNN7,RC2,11678
KNN9,C1,19418
KNN9,C2,9971
KNN9,R1,24756
KNN9,R2,13901
KNN9,RC1,20725
KNN9,RC2,11671
NeuralNetwork,C1,19407
NeuralNetwork,C2,9993
NeuralNetwork,R1,24388
NeuralNetwork,R2,13935
NeuralNetwork,RC1,20721
NeuralNetwork,RC2,11661
Random,C1,19638
Random,C2,10371
Random,R1,23321
Random,R2,14363
Random,RC1,21020
Random,RC2,12090
