instance,eval,gs,nc,ne,ps,xi
RC1_2_3,3023.29,10,0.8,0.4,5,0.4
RC2_10_5,27379.36,10,0.4,0.4,5,0.8
C2_2_8,1812.43,10,0.6,0.4,15,0.6
RC2_8_4,12062.98,10,0.8,0.8,5,0.4
C2_10_7,18892.68,10,0.2,0.6,5,0.6
R2_10_3,27499.27,10,0.1,0.2,5,0.4
C2_10_10,16775.22,10,0.4,0.6,5,0.2
R2_8_3,19075.27,10,0.6,0.8,5,0.8
C1_2_5,2686.0,40,0.8,0.4,15,0.4
RC1_4_2,8116.52,10,0.2,0.8,5,0.4
R2_2_10,2556.75,10,0.8,0.4,15,0.4
R2_4_5,6744.7,10,0.6,0.2,5,0.2
R1_10_8,44906.99,10,0.1,0.6,5,0.4
RC1_10_10,46329.8,10,0.1,0.8,5,0.6
R1_8_5,35629.1,10,0.4,0.8,5,0.8
R2_8_7,18005.25,10,0.4,0.6,5,0.8
R1_2_4,3094.12,10,0.6,0.4,5,0.4
C1_2_4,2619.08,10,0.1,0.2,15,0.6
C1_6_5,14035.0,20,0.1,0.6,5,0.6
R1_2_2,3931.14,10,0.6,0.6,15,0.4
R2_8_1,26552.82,10,0.8,0.4,5,0.8
R2_4_4,4296.71,10,0.4,0.6,15,0.4
C1_4_3,6940.1,20,0.4,0.4,5,0.2
RC2_10_2,27269.85,10,0.4,0.8,5,0.8
R1_8_6,32616.76,10,0.4,0.8,5,0.1
RC1_6_7,16936.67,10,0.1,0.6,5,0.4
C2_10_4,18023.91,10,0.8,0.8,5,0.4
C2_10_9,18656.11,20,0.1,0.1,5,0.6
R1_2_8,2962.46,10,0.6,0.2,5,0.4
RC1_10_7,47599.3,10,0.4,0.8,5,0.4
RC2_10_1,31008.39,10,0.8,0.2,5,0.8
R1_4_5,9373.43,10,0.1,0.6,5,0.2
C1_6_10,13768.02,10,0.6,0.4,5,0.4
C1_2_6,2686.0,40,0.8,0.4,15,0.4
RC1_2_7,3198.42,10,0.8,0.2,5,0.4
RC2_2_5,2489.32,10,0.1,0.2,25,0.8
R2_6_2,13665.15,10,0.6,0.6,5,0.2
R2_2_5,3078.79,10,0.4,0.2,5,0.4
C1_10_7,40193.85,10,0.6,0.8,5,0.1
C2_4_6,3871.79,10,0.6,0.2,5,0.6
R2_2_6,2684.23,10,0.2,0.4,5,0.4
R2_2_9,2857.61,10,0.6,0.4,15,0.4
RC1_2_8,3101.93,10,0.8,0.8,15,0.6
RC2_6_9,9880.0,10,0.4,0.4,5,0.8
C2_10_2,19081.72,10,0.6,0.6,5,0.8
C1_6_3,14017.85,10,0.4,0.6,5,0.4
RC2_4_5,5467.39,10,0.6,0.4,5,0.4
C2_8_1,11732.5,20,0.4,0.4,5,0.8
C2_8_9,12248.02,10,0.1,0.8,5,0.6
RC2_8_2,17805.65,10,0.2,0.8,5,0.8
R1_4_7,7826.77,10,0.2,0.6,5,0.4
C2_8_7,12219.7,10,0.8,0.8,5,0.2
C1_4_10,6876.02,20,0.6,0.8,5,0.4
C2_4_3,3808.07,10,0.4,0.4,5,0.4
R2_10_9,35324.79,10,0.8,0.2,5,0.8
C1_8_8,25268.05,10,0.2,0.4,5,0.2
RC1_4_7,8170.13,10,0.2,0.6,5,0.4
R1_4_4,7514.51,10,0.6,0.8,5,0.4
RC1_2_1,3521.29,20,0.4,0.2,5,0.6
RC2_6_6,11378.84,10,0.6,0.4,5,0.2
RC2_8_7,17530.42,10,0.4,0.6,5,0.8
C1_8_2,25225.34,10,0.6,0.4,5,0.2
C1_10_9,42789.49,10,0.4,0.8,5,0.2
R1_2_5,4061.15,20,0.8,0.2,5,0.8
C2_6_6,7689.51,10,0.4,0.4,5,0.2
R2_8_2,23329.48,10,0.4,0.6,5,0.8
C1_8_1,25119.52,20,0.4,0.8,5,0.1
R2_10_4,19866.15,10,0.1,0.4,5,0.6
R1_8_7,30859.97,10,0.1,0.2,5,0.4
RC2_4_3,4657.91,40,0.2,0.8,5,0.6
R2_8_4,14466.59,10,0.1,0.2,5,0.4
R1_4_10,8352.48,10,0.4,0.8,5,0.6
RC2_4_9,4642.67,10,0.2,0.4,5,0.4
R2_10_1,39856.33,10,0.2,0.2,5,0.8
RC2_2_4,1854.73,10,0.6,0.2,15,0.6
C1_6_4,13995.19,10,0.2,0.8,5,0.6
C2_2_1,1922.06,10,0.1,0.8,15,0.8
R1_6_7,17456.71,10,0.1,0.6,5,0.2
RC2_2_6,2496.85,20,0.6,0.2,5,0.4
C2_6_5,7687.79,10,0.4,0.6,5,0.2
C1_10_4,42146.49,10,0.1,0.2,5,0.4
R2_4_7,5071.54,10,0.4,0.6,5,0.4
RC1_8_9,29963.22,10,0.8,0.8,5,0.6
R1_4_3,8067.11,10,0.6,0.6,5,0.8
RC2_10_3,22383.72,10,0.1,0.1,5,0.8
RC1_8_1,31456.61,10,0.6,0.8,5,0.4
R1_8_4,29426.29,10,0.6,0.8,5,0.6
R2_6_10,12520.92,10,0.8,0.4,5,0.8
